Diameter (microns), Flow (microliter/min), Study
75.7021063189569,5.1579739217653,Riva (1985)
82.5470160481444,4.21363047475761,Riva (1985)
81.7935055165496,4.04008901705116,Riva (1985)
77.0035105315948,3.64405717151455,Riva (1985)
76.5132898696088,3.04862504179204,Riva (1985)
72.2279338014042,2.67730274155801,Riva (1985)
70.7039869608826,3.00019851220328,Riva (1985)
67.6698846539619,3.10008149448345,Riva (1985)
63.8879137412237,2.80309679037112,Riva (1985)
62.635406218656,2.38151955867603,Riva (1985)
68.1889418254764,2.5540684553661,Riva (1985)
59.8627131394183,2.13395394516884,Riva (1985)
61.4004513540622,1.26514961551321,Riva (1985)
55.8456619859579,1.14222876964226,Riva (1985)
54.5730942828485,1.51470035105316,Riva (1985)
50.0294633901705,1.36675651955868,Riva (1985)
